subject,cond,age,gender,eth,inc,house,edu
279,6,41,m,White,3,2,6
280,7,23,m,Hispanic,0,2,2
281,0,20,m,Asian,1,4,2
282,1,20,m,White,6,5,2
283,2,27,m,Caucasian,7,2,4
284,3,40,m,Caucasian,4,4,2
285,4,25,m,Caucasian,2,2,4
286,5,23,m,Asian,2,2,4
287,6,27,m,White,10,2,4
288,7,19,m,Asian ,2,2,2
289,0,38,f,white,4,4,4
290,1,26,m,black american,2,3,2
291,2,47,m,White,0,2,6
292,3,24,m,white,8,2,4
293,4,25,m,Hispanic,2,2,2
294,5,39,m,White,8,2,6
295,6,25,f,White,10,4,4
296,7,23,m,Caucasian,4,2,2
297,0,23,m,Latino American,6,4,2
298,1,22,m,white,0,1,3
299,2,24,f,white,4,3,1
300,3,27,f,Caucasian,4,2,4
301,4,31,m,white,0,1,2
302,5,24,m,Caucasian,3,4,4
303,6,26,m,White,5,2,2
304,7,22,f,white,3,2,2
305,0,33,m,caucasian,3,3,1
306,1,38,m,White,0,1,2
311,1,38,f,Caucasian,10,5,4
312,2,28,f,white,4,5,2
313,3,26,m,Black,4,2,2
314,4,24,f,Whie,1,1,4
315,5,48,m,caucasian,10,3,4
316,6,20,m,White,2,2,2
317,7,21,m,White,10,3,2
318,0,36,f,white,3,4,2
319,1,32,f,white,4,2,1
320,2,42,m,white,5,3,4
321,3,52,f,White,8,1,4
322,4,36,f,white,3,2,4
325,7,24,f,caucasian,2,1,4
326,0,22,m,Asian,6,3,2
327,1,22,m,white,0,1,1
328,2,53,m,White,10,3,6
329,3,27,f,white,0,3,3
330,4,23,m,White,0,1,1
332,6,22,m,caucasian,1,3,2
333,7,29,f,Caucasian,2,1,4
334,0,20,f,white,0,4,2
335,1,35,f,White,6,1,6
336,2,24,f,White,8,2,2
337,3,32,m,hispanic,6,1,2
338,4,29,f,caucasian,7,2,4
339,5,49,f,White,8,4,2
340,6,24,f,White,11,4,5
341,7,25,f,White,1,1,4
342,0,20,m,Hispanic,9,4,2
344,2,20,f,Chinese,10,3,2
345,3,41,f,Caucasian,2,2,4
346,4,33,m,white,0,1,2
347,5,27,f,White,3,6,4
348,6,50,m,Caucasion,2,4,1
349,7,50,m,White,11,2,2
352,2,29,f,white,5,2,6
353,3,28,m,Caucasian/Frog,2,4,2
355,5,31,f,white,1,2,4
356,6,36,m,Caucasian,6,3,3
357,7,49,f,Caucasian,5,3,4
358,0,23,f,caucasian,2,1,2
359,1,40,m,caucasian,5,4,5
360,2,22,f,White,0,3,2
361,3,26,m,Asian,1,1,4
362,4,50,f,white,4,3,3
363,5,32,f,WHITE,5,4,3
364,6,32,f,white,0,1,1
365,7,21,m,Asian,9,4,2
366,0,22,m,White,3,1,2
367,1,26,f,White,1,2,4
369,3,24,f,white,2,2,1
370,4,27,f,White,1,2,2
370,4,27,f,White,1,2,2
372,6,33,m,Caucasian,3,3,1
373,7,27,m,mixed,2,3,2
374,0,30,f,Caucasian,4,5,2
375,1,34,f,white,8,1,4
