Subject,cond,age,gender,ethnicity,income,house
550,1,19,m,White,7,2
552,1,33,m,Hispanic,5,3
553,0,27,f,white,2,4
555,0,27,f,White,7,2
556,1,22,m,Caucasian,2,2
559,0,36,m,Caucasian,5,5
560,1,34,f,Caucasian ,4,4
561,0,42,f,African American,2,3
563,0,30,m,asian,6,2
564,1,44,f,white,3,3
565,0,22,m,white,6,2
566,1,25,f,White,3,3
567,0,27,f,Caucasian,5,2
569,0,21,m,African,3,3
