Subject,Large Acc,Income,House,SES2,Prime,Expense,Wait min
174,1,7,3,4,"1,1,0,0,0,",1,45
175,0,8,9,8,"0,1,0,1,1,",4,15
176,1,0,1,12,"1,0,0,0,0,",4,20
178,1,2,2,35,"1,1,0,1,0,",3,30
179,0,10,4,4,"0,1,1,0,1,",2,10
180,1,4,2,8,"1,1,0,0,0,",1,5
181,0,5,3,5,"1,1,0,1,1,",1,5
182,1,5,1,5,"1,1,0,0,0,",7,3
183,0,0,2,24,"0,1,1,0,1,",1,15
184,1,7,4,10,"0,1,0,0,0,",1,2
185,0,0,1,12,"0,1,0,0,0,",1,5
186,1,10,2,8,"1,1,1,1,1,",2,10
187,0,4,1,2,"1,1,1,1,1,",1,30
188,1,1,2,10,"1,0,0,0,0,",3,15
189,0,4,4,4,"0,1,0,1,1,",6,6
190,1,0,3,5,"1,0,0,1,0,",6,0
192,1,2,2,5,"1,0,0,0,0,",5,1
193,0,2,5,3,"0,0,0,1,1,",5,100
196,1,3,2,4,"1,1,0,0,1,",4,10
197,0,7,4,6,"0,1,0,1,1,",3,20
198,1,2,1,10,"1,1,0,0,0,",6,5
199,0,2,2,4,"0,1,1,0,0,",7,60
200,1,5,3,8,"1,0,0,0,0,",6,20
202,1,2,2,8,"0,1,0,0,0,",1,10
203,0,10,3,5,"0,1,0,1,1,",4,45
204,1,11,2,6,"1,1,1,1,1,",3,10
205,0,10,6,3,"0,1,0,1,1,",9,20
206,1,0,3,12,"1,1,0,0,0,",9,30
207,0,10,6,50,"0,1,0,1,1,",7,10
208,1,3,6,9,"1,0,0,0,0,",4,0
210,1,2,1,3,"1,1,0,0,0,",2,20
211,0,11,4,4,"0,1,0,1,1,",5,10
212,1,4,4,6,"1,0,0,0,0,",5,15
213,0,0,1,4,"1,1,1,1,0,",7,10
214,1,3,1,4.5,"1,1,1,0,0,",6,10
215,0,2,1,8,"0,1,1,1,0,",9,5
217,0,3,2,3,"0,1,0,1,1,",8,15
218,1,5,4,8,"1,1,0,0,0,",4,10
219,0,5,5,2,"0,1,0,1,0,",3,10
220,1,3,4,4,"1,1,0,0,0,",2,10
221,0,0,2,3,"1,1,1,1,1,",3,15
222,1,7,1,1.75,"1,1,1,1,0,",3,30
223,0,0,3,3,"0,1,1,0,0,",4,10
224,1,10,4,4,"1,1,0,1,0,",3,10
225,0,3,4,5,"0,1,0,1,0,",5,20
226,1,5,4,7,"1,1,0,0,0,",6,30
227,0,7,3,24,"0,1,0,0,1,",6,5
228,1,2,4,12,"1,0,0,0,0,",10,45
229,0,4,6,4,"0,1,1,0,0,",4,15
230,1,0,1,8,"1,1,0,0,0,",5,15
231,0,5,6,6,"0,1,0,1,1,",7,10
232,1,3,1,4,"1,1,0,1,0,",1,10
233,0,6,4,6,"0,1,0,1,1,",8,10
234,1,10,5,7,"1,1,0,0,0,",7,10
235,0,5,4,6,"0,1,0,1,1,",9,15
236,1,5,1,5,,9,30
237,0,8,2,5,"0,1,1,1,0,",10,30
238,1,10,4,3,"1,1,0,1,0,",2,2
239,0,1,2,15,"0,1,1,1,0,",9,30
240,1,7,1,3,"1,1,1,1,0,",3,0
241,0,1,1,5,"0,1,1,0,1,",7,30
242,1,6,4,3,"1,1,0,0,0,",4,5
243,0,6,9,4,"0,1,0,1,1,",6,15
244,1,10,4,4,"1,1,1,1,0,",3,15
246,1,1,1,8,"1,0,0,0,0,",10,15
247,0,2,4,5,"1,1,0,1,1,",5,50
248,1,2,2,5,"1,0,0,0,0,",4,10
249,0,4,4,8,"0,1,0,1,1,",3,60
250,1,6,3,5,"1,1,0,0,0,",7,30
251,0,11,4,5,"0,1,1,1,1,",8,20
252,1,2,4,6,"1,1,0,0,0,",5,60
253,0,2,2,4,"0,1,0,1,1,",6,20
254,1,5,2,6,"1,1,1,0,0,",5,20
256,1,4,2,5,"1,1,0,0,0,",6,5
257,0,0,2,6,"0,1,1,1,1,",1,0
258,1,7,5,10,"1,0,0,0,0,",8,4
259,0,3,1,2,"0,1,0,1,1,",6,15
260,1,0,5,24,"1,1,0,0,0,",7,47
261,0,2,2,6,"0,1,1,1,1,",3,20
262,1,1,1,7,"1,0,0,0,0,",1,6
263,0,5,4,3,"0,1,1,0,0,",7,20
264,1,6,5,6,"1,0,0,0,0,",4,8
267,0,0,3,8,"0,1,1,1,1,",1,0
268,1,2,3,5,"0,1,0,0,0,",8,0
269,0,8,2,4,"0,1,1,1,1,",11,30
270,1,10,5,2,"1,1,0,0,0,",3,5
272,1,4,4,6,"1,1,1,0,0,",8,15
273,0,0,1,12,"0,1,1,0,1,",4,20
274,1,9,4,8,"1,1,0,0,0,",6,60
275,0,4,4,3,"0,1,1,0,0,",2,5
276,1,8,4,10,"1,0,0,0,0,",4,2
277,0,10,4,8,"0,1,1,1,1,",3,15
278,1,2,2,2,"1,1,0,0,0,",1,10
279,0,3,4,5,"0,1,0,1,1,",2,20
280,1,8,5,1,"1,1,0,1,0,",8,3
281,0,4,2,13,"1,1,1,1,0,",6,20
282,1,3,4,3,"1,1,0,0,0,",2,30
283,0,5,2,5,"1,1,1,1,1,",3,15
284,1,6,1,4,"1,0,0,1,0,",2,15
285,0,2,5,10.5,"0,1,1,1,1,",4,30
286,1,11,5,2,"1,1,0,0,1,",5,10
287,0,10,2,3,"1,1,0,1,1,",2,5
288,1,3,6,2,"1,1,0,0,0,",7,60
289,0,7,1,5,"0,0,0,1,0,",11,10
290,1,6,3,4,"0,0,0,0,0,",2,60
291,0,1,3,1,"0,1,0,1,1,",3,2
292,1,1,3,5,"1,1,0,0,0,",1,5
293,0,5,6,5,"1,1,1,1,1,",4,10
294,1,2,5,10,"1,1,0,0,0,",4,30
295,0,2,2,1,"0,1,0,0,1,",8,10
296,1,2,3,5,"1,1,0,0,0,",1,5
297,0,4,2,6,"0,1,1,1,0,",8,5
298,1,3,3,10,"1,1,0,1,0,",6,15
299,0,8,4,2,"1,1,0,1,0,",3,10
300,1,0,5,2,"1,1,0,0,0,",2,10
301,0,0,2,4,"0,1,1,1,1,",8,0
302,1,5,2,4,"1,1,0,1,0,",2,5
303,0,4,2,2,"1,1,1,1,1,",2,30
304,1,3,2,4,"1,1,0,0,1,",7,5
305,0,1,2,4,"0,1,0,1,1,",7,10
307,0,3,2,3,"1,1,1,1,0,",7,15
